Scheme Name,URL
Infrastructure and Technology Support,https://www.myscheme.gov.in/schemes/iats
Financial Assistance for Purchase of Barrier Net and its Accessories,https://www.myscheme.gov.in/schemes/fapbnia
Grant of Subsidy For Setting up of Ice-Plant /Cold Storage/Fish Processing Unit,https://www.myscheme.gov.in/schemes/gsis-icfsfpu
Sub-mission On Agriculture Mechanization,https://www.myscheme.gov.in/schemes/smam
Community Canning & Training On Fruit Preservation,https://www.myscheme.gov.in/schemes/cctofp
Financial Assistance To Fishermen For Purchase of Fisheries Requisites (Gill Net/ River Gill Net with Accessories),https://www.myscheme.gov.in/schemes/fafpfrgnrgnwa
"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/aipbo-faascdmf
Udita Yojana,https://www.myscheme.gov.in/schemes/uy
Financial Assistance To Purchase Singel Net / Small Rampon Net & Its Accessories,https://www.myscheme.gov.in/schemes/fapsnsrna
Free Supply of Rice to the Poor People,https://www.myscheme.gov.in/schemes/fsrpp
Reimbursement of College Fees for Scheduled Caste Students in Professional Colleges (Top 20),https://www.myscheme.gov.in/schemes/rcfscspc
Opening and Maintenance of Boys and Girls Hostels,https://www.myscheme.gov.in/schemes/ombgh
Incentive Award to Inter-Caste Married Couples,https://www.myscheme.gov.in/schemes/iaicmc
Grant Of Incentive For Marriage Between Differently Abled Person And Normal Persons,https://www.myscheme.gov.in/schemes/gimbdapnp
Perunthalaivar Karma Veerar Kamarajar Scheme of Financial Assistance Towards Funeral Expenses of the Differently Abled Persons,https://www.myscheme.gov.in/schemes/pkvksfatfedap
Annual Tour to the Differently Abled Persons,https://www.myscheme.gov.in/schemes/atdap
Mukhya Mantri Yuva Udyami Yojana,https://www.myscheme.gov.in/schemes/myuy
Supply of Radio to the Blind Persons,https://www.myscheme.gov.in/schemes/srbp
Grant of Stipend to the Differently Abled Trainees of the Vocational Training Institutes,https://www.myscheme.gov.in/schemes/gsdatvti
Award of Scholarship to Differently Abled Person Students,https://www.myscheme.gov.in/schemes/asdaps
"""Vocational Training"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/vt-pudu
"""Exhibition"" Component of the ""Development Of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/ecdhs
"""Entrepreneureship Development Programme (EDP)"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/edpedp
"""Grant To Handicrafts Societies"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/ghs-pudu
"""Conducting of Exhibitions"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/cecdcs
Natural Death Benefit Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/ndbs-pbaocwwb
Disablement Benefit Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/dbs-pbaocwwb
